college_name,state,city,field,ranking,score
Malaviya National Institute of Technology,Rajasthan,Jaipur,engineering,43,56.35
National Institute of Technology Durgapur,West Bengal,Durgapur,engineering,44,56.26
National Institute of Technology Delhi,Delhi,Delhi,engineering,45,55.67
Sri Sivasubramaniya Nadar College of Engineering,Tamil Nadu,Kalavakkam,engineering,46,55.01
International Institute of Information Technology Hyderabad,Telangana,Hyderabad,engineering,47,54.29
Birla Institute of Technology,Jharkhand,Ranchi,engineering,48,54.18
"Indian Institute of Engineering Science and Technology, Shibpur",West Bengal,Howrah,engineering,49,54.17
Lovely Professional University,Punjab,Phagwara,engineering,50,54.16
Indian Institute of Space Science and Technology,Kerala,Thiruvananthapuram,engineering,51,53.13
Graphic Era University,Uttarakhand,Dehradun,engineering,52,52.96
Saveetha Institute of Medical and Technical Sciences,Tamil Nadu,Chennai,engineering,53,52.85
Indian Institute of Technology Bhubaneswar,Odisha,Bhubaneswar,engineering,54,52.54
National Institute of Technology Patna,Bihar,Patna,engineering,55,52.28
Manipal Institute of Technology,Karnataka,Manipal,engineering,56,52.12
Netaji Subhas University of Technology (NSUT),Delhi,Delhi,engineering,57,51.52
Dr. B R Ambedkar National Institute of Technology Jalandhar,Punjab,Jalandhar,engineering,58,51.11
Sardar Vallabhbhai National Institute of Technology,Gujarat,SURAT,engineering,59,51.04
Motilal Nehru National Institute of Technology,Uttar Pradesh,Prayagraj,engineering,60,50.65
Indian Institute of Technology Tirupati,Andhra Pradesh,YERPEDU,engineering,61,50.58
Indian Institute of Technology Jammu,Jammu and Kashmir,Jammu,engineering,62,50.53
Defence Institute of Advanced Technology,Maharashtra,Pune,engineering,63,50.37
Indian Institute of Technology Palakkad,Kerala,Palakkad,engineering,64,50.24
"Manipal University, Jaipur",Rajasthan,Jaipur,engineering,64,50.24
Sathyabama Institute of Science and Technology,Tamil Nadu,Chennai,engineering,66,50.05
PSG College of Technology,Tamil Nadu,Coimbatore,engineering,67,49.92
National Institute of Technology Meghalaya,Meghalaya,Shillong,engineering,68,49.82
Visvesvaraya Technological University,Karnataka,Belgaum,engineering,69,49.8
University of Hyderabad,Telangana,Hyderabad,engineering,70,49.3
National Institute of Technology Raipur,Chhattisgarh,Raipur,engineering,71,48.88
Maulana Azad National Institute of Technology,Madhya Pradesh,Bhopal,engineering,72,48.86
Indian Institute of Technology Bhilai,Chhattisgarh,Raipur,engineering,73,48.8
International Institute of Information Technology Bangalore,Karnataka,Bengaluru,engineering,74,48.61
M. S. Ramaiah Institute of Technology,Karnataka,Bengaluru,engineering,75,48.33
Sant Longowal Institute of Engineering and Technology,Punjab,Longowal,engineering,76,48.22
COEP Technological University,Maharashtra,Pune,engineering,77,47.89
Banasthali Vidyapith,Rajasthan,Banasthali,engineering,78,47.86
National Institute of Technology Srinagar,Jammu and Kashmir,Srinagar,engineering,79,47.76
Rajiv Gandhi Institute of Petroleum Technology,Uttar Pradesh,Amethi,engineering,80,47.43
National Institute of Technology Kurukshetra,Haryana,Kurukshetra,engineering,81,46.79
National Institute of Technology Agartala,Tripura,Agratala,engineering,82,46.69
Sri Krishna College of Engineering and Technology,Tamil Nadu,Coimbatore,engineering,83,46.53
Madan Mohan Malaviya University of Technology,Uttar Pradesh,Gorakhpur,engineering,84,46.39
Indraprastha Institute of Information Technology,Delhi,New Delhi,engineering,85,46.32
Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,Tamil Nadu,Chennai,engineering,86,46.23
Indian Institute of Information Technology Allahabad,Uttar Pradesh,Prayagraj,engineering,87,45.84
Jawaharlal Nehru Technological University,Telangana,Hyderabad,engineering,88,45.78
Guru Gobind Singh Indraprastha University,Delhi,New Delhi,engineering,89,45.64
AU College of Engineering (A),Andhra Pradesh,Visakhapatnam,engineering,90,45.6
"Vignan's Foundation for Science, Technology and Research",Andhra Pradesh,Guntur,engineering,91,45.43
Shoolini University of Biotechnology and Management Sciences,Himachal Pradesh,Solan,engineering,92,45.4
Christ University,Karnataka,Bengaluru,engineering,93,45.02
Chitkara University,Punjab,Rajpura,engineering,94,44.82
"Jain University, Bangalore",Karnataka,Bengaluru,engineering,95,44.61
"C.V. Raman Global University, Odisha",Odisha,Bhubaneswar,engineering,96,44.55
National Institute of Technology Puducherry,Pondicherry,Karaikal,engineering,97,44.38
SR University,Telangana,Warangal,engineering,98,44.29
R.V. College of Engineering,Karnataka,Bengaluru,engineering,99,44.26
Siddaganga Institute of Technology,Karnataka,Tumkur,engineering,100,43.95
Indian Institute of Technology Bombay,Maharashtra,Mumbai,innovation,1,
Indian Institute of Technology Madras,Tamil Nadu,Chennai,innovation,2,
Indian Institute of Technology Hyderabad,Telangana,Hyderabad,innovation,3,
"Indian Institute of Science, Bengaluru",Karnataka,Bengaluru,innovation,4,
Indian Institute of Technology Kanpur,Uttar Pradesh,Kanpur,innovation,5,
Indian Institute of Technology Roorkee,Uttarakhand,Roorkee,innovation,6,
Indian Institute of Technology Delhi,Delhi,New Delhi,innovation,7,
Indian Institute of Technology Mandi,Himachal Pradesh,Mandi,innovation,8,
Indian Institute of Technology Kharagpur,West Bengal,Kharagpur,innovation,9,
Anna University,Tamil Nadu,Chennai,innovation,10,
National Law School of India University,Karnataka,Bengaluru,law,1,83.83
National Law University,Delhi,New Delhi,law,2,77.48
Nalsar University of Law,Telangana,Hyderabad,law,3,77.05
The West Bengal National University of Juridical Sciences,West Bengal,Kolkata,law,4,76.39
Symbiosis Law School,Maharashtra,Pune,law,5,74.62
Jamia Millia Islamia,Delhi,New Delhi,law,6,73.12
Indian Institute of Technology Kharagpur,West Bengal,Kharagpur,law,7,71.47
Gujarat National Law University,Gujarat,Gandhinagar,law,8,69.56
Siksha `O` Anusandhan,Odisha,Bhubaneswar,law,9,65.4
Babasaheb Bhimrao Ambedkar University,Uttar Pradesh,Lucknow,law,10,64.96
Kalinga Institute of Industrial Technology,Odisha,Bhubaneswar,law,11,63.6
Aligarh Muslim University,Uttar Pradesh,Aligarh,law,12,63.54
Saveetha Institute of Medical and Technical Sciences,Tamil Nadu,Chennai,law,13,61.58
Shanmugha Arts Science Technology and Research Academy,Tamil Nadu,Thanjavur,law,14,60.65
Christ University,Karnataka,Bengaluru,law,15,59.39
Dr. B. R. Ambedkar College of Law,Andhra Pradesh,Visakhapatnam,law,16,58.75
Guru Gobind Singh Indraprastha University,Delhi,New Delhi,law,17,58.68
Alliance University,Karnataka,Bengaluru,law,18,56.72
Lovely Professional University,Punjab,Phagwara,law,19,56.71
Dr. Ram Manohar Lohiya National Law University,Uttar Pradesh,Lucknow,law,20,55.92
"National Law Institute University, Bhopal",Madhya Pradesh,Bhopal,law,21,55.64
National University of Study and Research in Law,Jharkhand,Ranchi,law,22,55.52
University of Lucknow,Uttar Pradesh,Lucknow,law,23,55.05
The Rajiv Gandhi National University of Law,Punjab,Patiala,law,24,54.7
